iter	RMSE
0	1.094793988
1	1.037093639
2	0.9870968261
3	0.9383712511
4	0.894954778
5	0.8564976061
6	0.8247699698
7	0.7950667652
8	0.7693404776
9	0.7464852856
10	0.7266616823
11	0.7082447747
12	0.6922844483
13	0.6779697392
14	0.6657354279
15	0.6559414174
16	0.6471390449
17	0.6387166599
18	0.6308113716
19	0.6238711656
20	0.6183144783
21	0.6132197948
22	0.6088070359
23	0.6042908409
24	0.6002789484
25	0.596874028
26	0.5936568335
27	0.5903833763
28	0.5876075239
29	0.5843284515
30	0.5822722907
31	0.5795831615
32	0.5774281281
33	0.5751141611
34	0.5733842421
35	0.5719240398
36	0.5702701488
37	0.5687376599
38	0.5676405681
39	0.5660654907
40	0.564863872
41	0.5638359786
42	0.5623952416
43	0.5615598432
44	0.5607118375
45	0.5598610099
46	0.5580084415
47	0.5562069274
48	0.555447452
49	0.5544508712
50	0.5530863072
51	0.5521290653
52	0.5505446952
53	0.5495822428
54	0.5491440597
55	0.5482646879
56	0.5473350776
57	0.546591793
58	0.5460818795
59	0.5450392242
60	0.5444543488
61	0.5432774511
62	0.5424383456
63	0.5416028579
64	0.5410478381
65	0.5406420789
66	0.5401753169
67	0.5395089323
68	0.5389959385
69	0.538537454
70	0.5378409926
71	0.5374404256
72	0.5366776413
73	0.5360593915
74	0.5356407711
75	0.5353615531
76	0.5349226364
77	0.5343889213
78	0.5337866842
79	0.5331215945
80	0.5324278138
81	0.5320890257
82	0.5312793205
83	0.5301877211
84	0.5297791436
85	0.5292156083
86	0.528829965
87	0.5283526337
88	0.52792294
89	0.5277227064
90	0.526916379
91	0.5263450321
92	0.5258530931
93	0.5253228696
94	0.5248359689
95	0.5245329919
96	0.5240695868
97	0.523522494
98	0.5231491565
99	0.5228954423
100	0.522500535
101	0.5219639638
102	0.5215514213
103	0.5213098533
104	0.5209262522
105	0.5205232335
106	0.520118074
107	0.5196057461
108	0.5191706944
109	0.5186295827
110	0.5180802884
111	0.5177351759
112	0.5172715592
113	0.5167171931
114	0.5163407364
115	0.516011243
116	0.5156903246
117	0.515279002
118	0.5150425414
119	0.5146827826
120	0.5143393573
121	0.5140517462
122	0.5134969408
123	0.513164707
124	0.5128542877
125	0.5126819777
126	0.5123071439
127	0.5120601968
128	0.5118675439
129	0.5115655392
130	0.5112306014
131	0.510870779
132	0.5105229261
133	0.5103160505
134	0.5100378693
135	0.5096525065
136	0.5093554367
137	0.5090270401
138	0.5087123485
139	0.508382659
140	0.508068916
141	0.5076230415
142	0.5072704835
143	0.5069397015
144	0.5065643639
145	0.5060656847
146	0.5058081741
147	0.5055801008
148	0.505326099
149	0.505069363
150	0.504871081
151	0.5046807503
152	0.5045052002
153	0.5040592781
154	0.5038242466
155	0.5034935223
156	0.5031880672
157	0.5029026767
158	0.5025830155
159	0.5023897599
160	0.5020888946
161	0.5018707819
162	0.501534671
163	0.5013257815
164	0.5011733851
165	0.500908671
166	0.5006326468
167	0.5005050267
168	0.5002944795
169	0.5000648786
170	0.4998567542
171	0.4995982958
172	0.499304377
173	0.4990391667
174	0.4987801606
175	0.4981974783
176	0.4979167443
177	0.4976442684
178	0.4974695862
179	0.497237616
180	0.4969221432
181	0.4966021512
182	0.4964177269
183	0.4961585528
184	0.4959882219
185	0.4956838537
186	0.4955512619
187	0.4953582005
188	0.4951925935
189	0.4947558241
190	0.494599019
191	0.4943401434
192	0.4942224141
193	0.4940010985
194	0.4938856814
195	0.4936006028
196	0.4933685706
197	0.4930929581
198	0.4929307163
199	0.4926807779
200	0.4925287564
201	0.4921348178
202	0.4918135385
203	0.4916966194
204	0.4915543583
205	0.4913900237
206	0.4911467749
207	0.490761804
208	0.4904711633
209	0.4902742937
210	0.4900906472
211	0.4898809645
212	0.4896879278
213	0.4895028837
214	0.4892750006
215	0.4890826335
216	0.4888818338
217	0.4887541937
218	0.4885030227
219	0.4881967079
220	0.4880486547
221	0.4877866452
222	0.4875939842
223	0.4874154627
224	0.4872013351
225	0.4870423162
226	0.4868246678
227	0.4866933648
228	0.4865422009
229	0.4864263059
230	0.4861780207
231	0.4860329725
232	0.4859255724
233	0.4858407684
234	0.4857092033
235	0.4855747364
236	0.4853829315
237	0.4852896857
238	0.4851251435
239	0.4850108427
240	0.4848888802
241	0.4846263312
242	0.4845014309
243	0.4843852022
244	0.4843154739
245	0.4841905396
246	0.4840852563
247	0.4839518772
248	0.4837864983
249	0.4836752022
250	0.483586374
251	0.4833871654
252	0.4832896909
253	0.4829530556
254	0.4827714859
255	0.4826037925
256	0.4824873694
257	0.482290933
258	0.4821699469
259	0.4820254339
260	0.4818492534
261	0.4817510841
262	0.4814666191
263	0.4812779708
264	0.481183219
265	0.4810494412
266	0.48096274
267	0.4808745624
268	0.4806860218
269	0.4804985459
270	0.4803610252
271	0.4802678335
272	0.4800812394
273	0.479981704
274	0.4798066301
275	0.4796923383
276	0.479474342
277	0.4792568205
278	0.4791394654
279	0.4789682209
280	0.4787160426
281	0.478557032
282	0.478485122
283	0.4783469349
284	0.4782341166
285	0.4781684784
286	0.4780602018
287	0.477871039
288	0.4777538328
289	0.4776138591
290	0.4775058347
291	0.4773941461
292	0.477310525
293	0.4771562675
294	0.4770105241
295	0.4769161257
296	0.4766870182
297	0.4765932593
298	0.4764509
299	0.4763838561
300	0.4763007672
301	0.476142743
302	0.4759935881
303	0.4758839603
304	0.475697191
305	0.4755874437
306	0.4753916446
307	0.4752451405
308	0.4751664413
309	0.4750322899
310	0.4749150293
311	0.4748235284
312	0.4747465661
313	0.474604069
314	0.474564188
315	0.4743600137
316	0.4741400035
317	0.4740866781
318	0.4739583121
319	0.4739016148
320	0.4737766239
321	0.4736478351
322	0.4734778787
323	0.4732123031
324	0.4731224187
325	0.4729925739
326	0.4728299598
327	0.4726567934
328	0.4725564532
329	0.4723908093
330	0.4722096943
331	0.4720607261
332	0.4719409742
333	0.4717690036
334	0.4716528605
335	0.4714626388
336	0.4713995074
337	0.4712126463
338	0.4710791417
339	0.4709873153
340	0.4708472104
341	0.4706411582
342	0.4705454857
343	0.470436382
344	0.4703089132
345	0.4702604241
346	0.4700556631
347	0.4699111753
348	0.4698110327
349	0.4697654796
350	0.469679559
351	0.469591124
352	0.4695242673
353	0.4694418995
354	0.4693055127
355	0.4692154559
356	0.4690964131
357	0.4690277291
358	0.4689032195
359	0.4687591049
360	0.4686443616
361	0.4685705992
362	0.4684911434
363	0.4684106066
364	0.4682761005
365	0.4681435787
366	0.4680081326
367	0.4679225857
368	0.4678907797
369	0.4678379078
370	0.4677535919
371	0.4676618152
372	0.4676162136
373	0.4674467258
374	0.4673633582
375	0.4673166575
376	0.467220488
377	0.467135599
378	0.4670398558
379	0.4669270822
380	0.4667715268
381	0.4666402932
382	0.4665480271
383	0.4664630092
384	0.4663424622
385	0.4662577312
386	0.4660633493
387	0.4659172732
388	0.4657254468
389	0.4655923029
390	0.4655058844
391	0.4653756505
392	0.4651368621
393	0.4650502007
394	0.4649161002
395	0.4648557405
396	0.4647703741
397	0.4645983005
398	0.4645784447
399	0.4644413802
400	0.4643262935
401	0.4642640748
402	0.4641994737
403	0.4640851267
404	0.4639423663
405	0.4637964485
406	0.4636016775
407	0.4634957994
408	0.4633588932
409	0.463323763
410	0.4632605968
411	0.4632206756
412	0.4630967883
413	0.4630232034
414	0.4629676017
415	0.4628110584
416	0.462729949
417	0.4626357242
418	0.4625849161
419	0.4624903887
420	0.4624393993
421	0.4623048772
422	0.4622635983
423	0.4621303436
424	0.4619347632
425	0.4618490159
426	0.4617125711
427	0.4616099631
428	0.4615170727
429	0.4613964958
430	0.4612867059
431	0.4612025778
432	0.461071158
433	0.4610037477
434	0.4608890807
435	0.4607939734
436	0.4606184866
437	0.4605553543
438	0.4605055904
439	0.4603915792
440	0.4603280503
441	0.4602897321
442	0.4602023734
443	0.4600751644
444	0.4599800646
445	0.4599068908
446	0.4598127347
447	0.4597224699
448	0.4596645962
449	0.4595442588
450	0.4594498228
451	0.4593936761
452	0.4592340541
453	0.4591469588
454	0.4589390532
455	0.4588504394
456	0.4587959406
457	0.4587464254
458	0.4587153525
459	0.4585754883
460	0.4584751978
461	0.4584295822
462	0.4583381192
463	0.4582487267
464	0.4581784347
465	0.4581284178
466	0.4580573627
467	0.4579314685
468	0.4578657778
469	0.4577102554
470	0.457627216
471	0.4574756182
472	0.457356729
473	0.4571757618
474	0.4571190176
475	0.4570080521
476	0.4568816176
477	0.4568032582
478	0.4567600944
479	0.4566704789
480	0.4565856885
481	0.4565368442
482	0.456381166
483	0.4562638956
484	0.4562250229
485	0.4560672487
486	0.455974479
487	0.4559129156
488	0.4557768128
489	0.4557392081
490	0.4556407222
491	0.4555486682
492	0.4555072036
493	0.4554032451
494	0.4553360172
495	0.4552430491
496	0.4551183823
497	0.4550893535
498	0.4550076624
499	0.4549452923
500	0.4548963092
501	0.4548360514
502	0.4547676354
503	0.4547158199
504	0.45463907
505	0.4546049569
506	0.4545497434
507	0.454356839
508	0.4541825312
509	0.4541037989
510	0.4540033684
511	0.4539086055
512	0.4537885582
513	0.4536467781
514	0.4535786121
515	0.45349664
516	0.4534386145
517	0.4534109856
518	0.4533476164
519	0.4532362163
520	0.4531164149
521	0.4530427218
522	0.4529908952
523	0.4529068395
524	0.4527719321
525	0.4527119823
526	0.4526226591
527	0.4525143686
528	0.4524378268
529	0.4523664005
530	0.452307917
531	0.4522394249
532	0.4521356418
533	0.4520698505
534	0.4519668752
535	0.4518762842
536	0.4518211858
537	0.4517660459
538	0.4516365489
539	0.4515993309
540	0.4514452635
541	0.4513496344
542	0.4512878674
543	0.4512210026
544	0.4511132313
545	0.4510623681
546	0.4509741574
547	0.4508695884
548	0.4507972659
549	0.450697903
550	0.4505770954
551	0.4505065201
552	0.450438468
553	0.45036847
554	0.4503201944
555	0.4501564882
556	0.4500702474
557	0.4499357594
558	0.4498074384
559	0.4497443128
560	0.4496510759
561	0.4495780168
