iter	Passed	Remaining
0	951	950708
1	1638	817563
2	2474	822391
3	3159	786740
4	3889	774056
5	4553	754422
6	5162	732323
7	5913	733319
8	6801	748869
9	7501	742599
10	8268	743386
11	8910	733591
12	10015	760439
13	11422	804505
14	12590	826745
15	13359	821624
16	14201	821189
17	14932	814632
18	15835	817600
19	16878	827030
20	17686	824534
21	18529	823707
22	19284	819162
23	20327	826669
24	21070	821763
25	21851	818600
26	22777	820843
27	24598	853904
28	25673	859608
29	26484	856342
30	27461	858405
31	28626	865941
32	29494	864265
33	30315	861305
34	31236	861234
35	32081	859078
36	32999	858891
37	33910	858459
38	34744	856146
39	35907	861789
40	38032	889589
41	39341	897353
42	40139	893332
43	40955	889859
44	41926	889763
45	42897	889661
46	43823	888594
47	44621	884995
48	45427	881671
49	46012	874229
50	46939	873440
51	47748	870485
52	48699	870152
53	49890	874003
54	51420	883495
55	52255	880875
56	53072	878030
57	53725	872576
58	54683	872151
59	55612	871269
60	56500	869743
61	57272	866470
62	57911	861322
63	58652	857795
64	59360	853877
65	60335	853840
66	61285	853418
67	62610	858133
68	64085	864687
69	65061	864384
70	65757	860407
71	66515	857304
72	67458	856629
73	68404	855974
74	69357	855412
75	70088	852128
76	70881	849655
77	71839	849182
78	72810	848837
79	73791	848602
80	74729	847856
81	76201	853088
82	77769	859213
83	78580	856904
84	79305	853705
85	80168	852020
86	81297	853155
87	82286	852786
88	83125	850871
89	83850	847823
90	84554	844618
91	85210	840987
92	86041	839135
93	86887	837446
94	88473	842826
95	90096	848410
96	91117	848236
97	91978	846580
98	92815	844718
99	93779	844011
100	94638	842378
101	95558	841290
102	96364	839209
103	97496	839969
104	98292	837829
105	99277	837300
106	100387	837811
107	102105	843315
108	103598	846843
109	104550	845911
110	105655	846196
111	106641	845512
112	107588	844519
113	108707	844867
114	109669	843975
115	110525	842282
116	111595	842210
117	112668	842146
118	114594	848383
119	116341	853174
120	117569	854078
121	118420	852238
122	119490	851977
123	120314	849963
124	121030	847215
125	121789	844794
126	122518	842192
127	123393	840615
128	124294	839228
129	125196	837850
130	126001	835838
131	126876	834305
132	128723	839122
133	130071	840609
134	131069	839816
135	132009	838646
136	132992	837756
137	133836	835993
138	134657	834100
139	135504	832387
140	136341	830618
141	137363	829985
142	138201	828239
143	139174	827317
144	140095	826082
145	141802	829448
146	142996	829771
147	143910	828458
148	144775	826869
149	145582	824964
150	146592	824219
151	147617	823551
152	148694	823162
153	149829	823087
154	150716	821647
155	151539	819867
156	152447	818553
157	154158	821526
158	155484	822403
159	156229	820202
160	157148	818928
161	157913	816858
162	158828	815580
163	159585	813496
164	160490	812180
165	161405	810915
166	162336	809737
167	163227	808364
168	164176	807282
169	165033	805752
170	166272	806082
171	167796	807763
172	168904	807424
173	169781	805975
174	170469	803640
175	171406	802492
176	172311	801198
177	173113	799432
178	173987	798010
179	174764	796149
180	175693	794988
181	176618	793811
182	177373	791881
183	178347	790933
184	179806	792121
185	181308	793468
186	182222	792229
187	182990	790361
188	183939	789286
189	184854	788065
190	185613	786182
191	186429	784557
192	187120	782415
193	188104	781508
194	189068	780511
195	189879	778892
196	190832	777861
197	191919	777369
198	193173	777547
199	194467	777870
200	195402	776750
201	196322	775570
202	197126	773941
203	198024	772683
204	199030	771851
205	199773	770001
206	200562	768339
207	201487	767202
208	202401	766027
209	203166	764294
210	203957	762664
211	205556	764048
212	207091	765169
213	207889	763558
214	208819	762433
215	209825	761587
216	210709	760303
217	211732	759518
218	212629	758281
219	213585	757257
220	214390	755702
221	215350	754695
222	216424	754088
223	217837	754652
224	219292	755340
225	220521	755236
226	221458	754129
227	222322	752775
228	223123	751215
229	223923	749655
230	224804	748375
231	225661	747018
232	226626	746019
233	227656	745234
234	228440	743647
235	229379	742567
236	230663	742600
237	232126	743194
238	233423	743245
239	234234	741743
240	235154	740589
241	236082	739466
242	236934	738103
243	237755	736652
244	238740	735712
245	239578	734318
246	240491	733158
247	241359	731865
248	242360	730975
249	243438	730315
250	244914	730840
251	246309	731108
252	247160	729758
253	247955	728248
254	248880	727121
255	249646	725533
256	250636	724601
257	251617	723644
258	252468	722312
259	253507	721521
260	254586	720841
261	255617	720022
262	256925	719978
263	258416	720433
264	259200	718915
265	259833	716984
266	260661	715598
267	261586	714482
268	262486	713298
269	263359	712046
270	264167	710620
271	265114	709571
272	266003	708368
273	266900	707190
274	267809	706043
275	268920	705429
276	270722	706614
277	272163	706841
278	273119	705802
279	273888	704285
280	274775	703074
281	275591	701684
282	276550	700659
283	277517	699655
284	278481	698647
285	279159	696922
286	279906	695378
287	280786	694165
288	281808	693308
289	283623	694389
