iter	RMSE
0	1.096113204
1	1.038494502
2	0.9883204091
3	0.9443013448
4	0.9015539111
5	0.8624678741
6	0.827913067
7	0.7977603288
8	0.7720792623
9	0.7491612449
10	0.7290994612
11	0.7121361749
12	0.6962754066
13	0.6828838549
14	0.6703718035
15	0.6597733304
16	0.6499978059
17	0.6408662631
18	0.6329300122
19	0.6261629012
20	0.6198740824
21	0.6147997038
22	0.609235479
23	0.6047162208
24	0.6009527071
25	0.5973301994
26	0.5936104275
27	0.590358886
28	0.5874175908
29	0.5849158911
30	0.5826647895
31	0.5801883412
32	0.5779246976
33	0.5762048116
34	0.5738660484
35	0.5712431599
36	0.5692736355
37	0.5682185289
38	0.5665238802
39	0.564915765
40	0.5633543889
41	0.5621718581
42	0.5606803844
43	0.5593609583
44	0.5583430656
45	0.5570880325
46	0.556052374
47	0.555206777
48	0.5546500758
49	0.5539453305
50	0.5527857015
51	0.5513094749
52	0.5508215
53	0.5499743146
54	0.549278461
55	0.5485832544
56	0.5476537997
57	0.547061581
58	0.5463199821
59	0.5455994683
60	0.5449295766
61	0.5442701476
62	0.5435001123
63	0.5429434537
64	0.5424411212
65	0.5418161023
66	0.5413530505
67	0.5404739901
68	0.5395466754
69	0.5390939478
70	0.5385019232
71	0.537857004
72	0.5370616107
73	0.5366181862
74	0.5363510357
75	0.5358482234
76	0.535192614
77	0.5347030733
78	0.533962184
79	0.5336604077
80	0.5331607153
81	0.5326571603
82	0.5317175979
83	0.5313869999
84	0.530918437
85	0.5303847203
86	0.5300833515
87	0.5293634719
88	0.5288940356
89	0.5285507864
90	0.5281228465
91	0.5276101741
92	0.5271881144
93	0.5265964446
94	0.526125142
95	0.5256848754
96	0.5250961309
97	0.5243593977
98	0.5239851078
99	0.5235571518
100	0.5230264235
101	0.5225907369
102	0.5222907253
103	0.521803018
104	0.5213361476
105	0.5207400932
106	0.5204102252
107	0.5201760995
108	0.51977333
109	0.5193453123
110	0.5190239572
111	0.5187339647
112	0.5182680407
113	0.5176071926
114	0.517230809
115	0.516720632
116	0.5163481166
117	0.5159538418
118	0.515734151
119	0.5154195347
120	0.5150495844
121	0.5146752972
122	0.5141198079
123	0.5137560871
124	0.5131665097
125	0.5128366388
126	0.5125267379
127	0.5122499443
128	0.5118559869
129	0.5116053401
130	0.5113443013
131	0.511058408
132	0.5106783198
133	0.5104748078
134	0.5100637855
135	0.5096670962
136	0.5093499659
137	0.5090483762
138	0.5087202911
139	0.5084355784
140	0.5082092557
141	0.5079165829
142	0.5076368475
143	0.5072797887
144	0.5070845089
145	0.5067585973
146	0.5065841624
147	0.5062193996
148	0.5059116273
149	0.5055926044
150	0.5053223426
151	0.5050166214
152	0.504817345
153	0.5045189987
154	0.5040472566
155	0.5037984584
156	0.5033510957
157	0.5030596899
158	0.5029324856
159	0.502622007
160	0.5022524819
161	0.5019987812
162	0.5018058203
163	0.501622581
164	0.5014277694
165	0.5011907108
166	0.5009464035
167	0.5006546876
168	0.5003195183
169	0.500089012
170	0.4998105581
171	0.4995918719
172	0.4993562576
173	0.4990169332
174	0.4987707665
175	0.4986161324
176	0.4984529257
177	0.4981127804
178	0.497607844
179	0.4974360696
180	0.4972740754
181	0.4970710857
182	0.4969166484
183	0.4966761959
184	0.4964971199
185	0.4963616693
186	0.4962361435
187	0.4959116784
188	0.4957540661
189	0.4954535849
190	0.4953360359
191	0.4950845532
192	0.4948979008
193	0.4947363065
194	0.494554225
195	0.4944226687
196	0.4941676147
197	0.4938124714
198	0.4935394029
199	0.4933344278
200	0.4930379066
201	0.4929199144
202	0.4928141843
203	0.4926021954
204	0.4924498514
205	0.4921704577
206	0.4919966314
207	0.4917374004
208	0.4913938646
209	0.4912051005
210	0.4908852356
211	0.4906500874
212	0.4905148809
213	0.490398853
214	0.4901956341
215	0.4900631
216	0.4898724968
217	0.4897189481
218	0.4895236013
219	0.4893327631
220	0.4891651406
221	0.4889489681
222	0.4888402211
223	0.4887656253
224	0.4885457687
225	0.4883728454
226	0.4882410657
227	0.4880838673
228	0.4879507203
229	0.487855431
230	0.487536592
231	0.4874032221
232	0.487248018
233	0.4871098991
234	0.4869212133
235	0.4868091334
236	0.4866268872
237	0.4864798206
238	0.4863878933
239	0.4860515273
240	0.4858535829
241	0.485698224
242	0.4854947019
243	0.4853407372
244	0.4851874781
245	0.4850556025
246	0.484672365
247	0.4845031739
248	0.4843451896
249	0.4842129475
250	0.4841258518
251	0.4839794713
252	0.4839036432
253	0.4837844883
254	0.4836502765
255	0.4834520603
256	0.4831845184
257	0.4830752553
258	0.4829517615
259	0.4827481039
260	0.4825609123
261	0.482401453
262	0.4821596629
263	0.4820375567
264	0.4818871197
265	0.4817821787
266	0.4816543609
267	0.4815334872
268	0.4814222766
269	0.4813183669
270	0.4811657292
271	0.4809694885
272	0.4808871797
273	0.4806560474
274	0.480485746
275	0.4803146097
276	0.4802032782
277	0.4800641194
278	0.4799103364
279	0.4797621281
280	0.4795914078
281	0.4794462824
282	0.4792590822
283	0.479043004
