iter	Passed	Remaining
0	639	638475
1	1266	631828
2	1771	588853
3	2431	605429
4	3316	659968
5	4332	717712
6	5449	772999
7	6497	805640
8	7078	779443
9	7634	755836
10	8248	741654
11	8780	722917
12	9499	721243
13	10047	707648
14	10732	704773
15	11277	693586
16	11951	691083
17	12563	685433
18	13103	676545
19	13770	674762
20	14383	670561
21	15041	668653
22	15676	665913
23	16433	668286
24	17624	687348
25	18853	706291
26	20054	722687
27	21006	729214
28	21675	725748
29	22198	717766
30	22895	715659
31	23530	711807
32	24276	711360
33	24887	707110
34	25564	704847
35	26196	701478
36	26751	696257
37	27500	696187
38	28071	691704
39	28745	689902
40	29518	690456
41	30170	688183
42	30988	689673
43	32289	701572
44	33346	707678
45	34534	716208
46	35340	716575
47	36085	715704
48	36767	713586
49	37364	709929
50	37998	707065
51	38706	705653
52	39474	705334
53	40275	705564
54	41001	704486
55	41650	702102
56	42454	702365
57	43229	702100
58	43854	699443
59	44420	695921
60	45087	694048
61	46251	699737
62	47304	703559
63	48456	708676
64	49538	712585
65	50136	709510
66	50666	705555
67	51245	702364
68	52028	702002
69	52445	696777
70	53151	695467
71	53741	692670
72	54449	691439
73	55142	690025
74	55797	688172
75	56450	686316
76	57329	687208
77	57996	685547
78	58745	684868
79	59343	682448
80	60455	685903
81	61805	691925
82	63047	696556
83	63902	696838
84	64630	695724
85	65194	692884
86	65844	690990
87	66504	689225
88	67685	692821
89	69105	698729
90	69780	697040
91	70396	694787
92	71016	692601
93	71576	689873
94	72355	689279
95	73200	689304
96	74219	690930
97	75756	697269
98	77015	700919
99	78191	703720
100	78895	702243
101	79680	701498
102	80351	699756
103	80918	697141
104	81702	696417
105	82429	695207
106	82922	692050
107	83548	690045
108	84327	689319
109	84964	687442
110	85723	686562
111	86318	684382
112	86958	682586
113	87670	681366
114	88985	684800
115	90159	687078
116	91245	688626
117	92264	689634
118	93020	688661
119	93452	685315
120	94046	683195
121	94732	681761
122	95484	680810
123	96052	678564
124	96825	677781
125	97436	675869
126	98093	674293
127	98631	671926
128	99135	669359
129	99781	667771
130	100325	665518
131	100990	664086
132	101666	662741
133	102553	662768
134	103569	663611
135	104578	664381
